Hora
Temperatura,9° C,9° C,9° C,9° C,8° C,7° C,6° C,10° C,13° C,16° C,17° C,19° C,20° C,20° C,20° C,19° C,18° C,15° C,9° C,7° C,7° C,7° C,8° C,9° C
Clima,Despejado,Despejado,Despejado,Despejado,Despejado,Despejado,Despejado,Parcialmente nublado,Soleado,Soleado,Soleado,Soleado,Soleado,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Despejado,Despejado
Probabilidad de lluvia,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,84%,100%,100%,100%,100%,100%,84%,78%,83%,0%,0%
Precipitaciones,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,"0,1 mm","0,1 mm","0,4 mm","0,3 mm","0,1 mm",0 mm,0 mm,0 mm,0 mm,0 mm
Probabilidad de nevada,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Probabilidad de heladas,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Humedad,89%,88%,87%,87%,87%,88%,89%,87%,75%,64%,55%,49%,53%,44%,45%,49%,62%,76%,93%,93%,91%,89%,89%,89%
Velocidad del viento,6Km/h,7Km/h,8Km/h,9Km/h,9Km/h,9Km/h,10Km/h,10Km/h,9Km/h,8Km/h,8Km/h,8Km/h,8Km/h,7Km/h,5Km/h,4Km/h,6Km/h,6Km/h,6Km/h,4Km/h,2Km/h,4Km/h,4Km/h,4Km/h
Ráfaga de viento,11Km/h,13Km/h,14Km/h,17Km/h,18Km/h,19Km/h,21Km/h,15Km/h,10Km/h,9Km/h,9Km/h,9Km/h,9Km/h,8Km/h,6Km/h,5Km/h,8Km/h,8Km/h,12Km/h,8Km/h,4Km/h,8Km/h,8Km/h,7Km/h
Ángulo del viento,37°,45°,51°,56°,60°,62°,62°,60°,71°,86°,99°,105°,110°,120°,136°,202°,232°,241°,254°,283°,335°,26°,27°,33°
Dirección del viento,NE,NE,NE,NE,ENE,ENE,ENE,ENE,ENE,E,E,ESE,ESE,ESE,SE,SSW,SW,WSW,WSW,WNW,NNW,NNE,NNE,NNE
Nubosidad,20%,17%,16%,16%,18%,20%,24%,27%,11%,7%,4%,3%,25%,86%,89%,74%,85%,84%,86%,71%,71%,82%,24%,21%
Índice UV,0,0,0,0,0,0,0,0,2,5,9,12,14,13,10,6,2,1,0,0,0,0,0,0
Visibilidad,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,9 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km
