Hora
Temperatura,10° C,10° C,11° C,12° C,12° C,11° C,11° C,12° C,13° C,15° C,17° C,18° C,20° C,17° C,16° C,16° C,15° C,14° C,9° C,8° C,8° C,7° C,8° C,9° C
Clima,Ligeras precipitaciones,Ligeras precipitaciones,Llovizna a intervalos,Ligeras precipitaciones,Llovizna a intervalos,Llovizna a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Llovizna a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Parcialmente nublado,Ligeras precipitaciones,Ligeras precipitaciones,Ligeras precipitaciones,Ligeras precipitaciones,Ligeras precipitaciones,Lluvias fuertes o moderadas,Lluvias fuertes o moderadas,Fuertes lluvias,Lluvia moderada,Lluvias ligeras a intervalos,Lluvias ligeras a intervalos
Probabilidad de lluvia,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Precipitaciones,"0,8 mm","0,3 mm","0,2 mm","0,2 mm","0,5 mm","0,5 mm","0,5 mm","0,4 mm","0,2 mm","0,1 mm","0,3 mm","0,6 mm","0,9 mm","1,4 mm","1,6 mm","1,9 mm","1,9 mm","1,8 mm","3,1 mm","6,3 mm","7,6 mm","3,7 mm","1,4 mm","1,5 mm"
Humedad,95%,94%,92%,90%,92%,93%,93%,92%,86%,77%,70%,67%,56%,73%,78%,83%,89%,95%,98%,98%,96%,95%,94%,93%
Velocidad del viento,2Km/h,3Km/h,4Km/h,3Km/h,3Km/h,3Km/h,3Km/h,4Km/h,4Km/h,3Km/h,2Km/h,0Km/h,4Km/h,4Km/h,5Km/h,8Km/h,8Km/h,8Km/h,8Km/h,8Km/h,5Km/h,2Km/h,5Km/h,6Km/h
Ráfaga de viento,3Km/h,4Km/h,5Km/h,4Km/h,4Km/h,4Km/h,4Km/h,5Km/h,5Km/h,3Km/h,2Km/h,0Km/h,11Km/h,6Km/h,7Km/h,13Km/h,14Km/h,14Km/h,15Km/h,16Km/h,10Km/h,3Km/h,9Km/h,10Km/h
Ángulo del viento,358°,39°,43°,35°,31°,30°,23°,33°,34°,49°,69°,320°,231°,224°,243°,247°,249°,248°,245°,263°,308°,32°,48°,52°
Dirección del viento,N,NE,NE,NE,NNE,NNE,NNE,NNE,NNE,NE,ENE,NW,SW,SW,WSW,WSW,WSW,WSW,WSW,W,NW,NNE,NE,NE
Nubosidad,67%,56%,82%,92%,83%,72%,71%,84%,56%,79%,78%,80%,50%,85%,84%,67%,61%,87%,100%,100%,89%,80%,69%,57%
Índice UV,0,0,0,0,0,0,0,0,1,3,7,12,12,7,6,3,1,0,0,0,0,0,0,0
Visibilidad,10 Km,10 Km,5 Km,10 Km,5 Km,5 Km,9 Km,9 Km,5 Km,10 Km,9 Km,9 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,7 Km,7 Km,5 Km,7 Km,9 Km,9 Km
