Hora
Temperatura,8° C,9° C,10° C,10° C,9° C,10° C,10° C,10° C,13° C,14° C,16° C,17° C,19° C,17° C,16° C,16° C,16° C,15° C,12° C,10° C,8° C,8° C,7° C,7° C
Clima,Despejado,Despejado,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Cielo cubierto,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Cielos tormentosos en las aproximaciones,Intervalos de lluvias ligeras con tomenta en la región,Cielos tormentosos en las aproximaciones,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos
Probabilidad de lluvia,0%,0%,66%,87%,61%,83%,65%,73%,81%,72%,61%,100%,100%,100%,100%,100%,100%,100%,100%,72%,86%,87%,60%,71%
Precipitaciones,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,"0,1 mm","0,1 mm","0,1 mm","0,1 mm","0,1 mm","0,2 mm","0,1 mm","0,1 mm",0 mm,0 mm,0 mm,0 mm,0 mm
Probabilidad de nevada,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Probabilidad de heladas,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Humedad,90%,89%,86%,88%,89%,88%,88%,87%,75%,65%,60%,57%,56%,58%,61%,66%,69%,72%,77%,79%,81%,82%,85%,86%
Velocidad del viento,12Km/h,12Km/h,12Km/h,11Km/h,12Km/h,13Km/h,13Km/h,12Km/h,14Km/h,15Km/h,15Km/h,14Km/h,13Km/h,12Km/h,8Km/h,7Km/h,7Km/h,7Km/h,7Km/h,8Km/h,9Km/h,10Km/h,10Km/h,10Km/h
Ráfaga de viento,22Km/h,17Km/h,13Km/h,13Km/h,17Km/h,16Km/h,16Km/h,14Km/h,16Km/h,17Km/h,17Km/h,16Km/h,15Km/h,13Km/h,9Km/h,8Km/h,8Km/h,8Km/h,12Km/h,16Km/h,20Km/h,22Km/h,21Km/h,22Km/h
Ángulo del viento,61°,62°,69°,78°,72°,75°,74°,73°,81°,82°,89°,95°,94°,93°,82°,72°,76°,88°,74°,59°,59°,60°,63°,62°
Dirección del viento,ENE,ENE,ENE,ENE,ENE,ENE,ENE,ENE,E,E,E,E,E,E,E,ENE,ENE,E,ENE,ENE,ENE,ENE,ENE,ENE
Nubosidad,21%,21%,79%,87%,84%,88%,80%,71%,81%,75%,84%,77%,75%,89%,82%,77%,82%,73%,73%,70%,87%,71%,75%,82%
Índice UV,0,0,0,0,0,0,0,0,0,3,8,10,9,6,6,3,2,1,0,0,0,0,0,0
Visibilidad,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,9 Km,10 Km,9 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km
