Hora
Temperatura,7° C,7° C,7° C,7° C,6° C,6° C,6° C,11° C,13° C,14° C,16° C,16° C,18° C,15° C,16° C,14° C,14° C,14° C,8° C,6° C,6° C,5° C,5° C,5° C
Clima,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Parcialmente nublado,Ligeras precipitaciones,Ligeras precipitaciones,Intervalos de lluvias ligeras con tomenta en la región,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Parcialmente nublado,Despejado,Parcialmente nublado,Parcialmente nublado,Despejado
Probabilidad de lluvia,100%,100%,100%,79%,100%,61%,100%,82%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,60%,0%,0%,0%,0%,0%
Precipitaciones,"0,1 mm","0,1 mm","0,1 mm",0 mm,"0,1 mm",0 mm,"0,1 mm",0 mm,"0,1 mm","0,1 mm","0,5 mm","0,6 mm","0,6 mm","0,9 mm","0,8 mm","0,7 mm","0,4 mm","0,2 mm",0 mm,0 mm,0 mm,0 mm,0 mm,0 mm
Probabilidad de nevada,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Probabilidad de heladas,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Humedad,91%,90%,89%,90%,90%,90%,90%,87%,81%,74%,70%,68%,60%,73%,74%,80%,79%,78%,90%,94%,93%,92%,90%,88%
Velocidad del viento,3Km/h,2Km/h,3Km/h,3Km/h,2Km/h,3Km/h,3Km/h,5Km/h,6Km/h,6Km/h,7Km/h,8Km/h,6Km/h,3Km/h,5Km/h,9Km/h,8Km/h,4Km/h,4Km/h,2Km/h,3Km/h,5Km/h,7Km/h,8Km/h
Ráfaga de viento,6Km/h,5Km/h,5Km/h,5Km/h,5Km/h,5Km/h,7Km/h,6Km/h,7Km/h,7Km/h,8Km/h,10Km/h,8Km/h,4Km/h,7Km/h,12Km/h,11Km/h,6Km/h,8Km/h,4Km/h,5Km/h,11Km/h,14Km/h,16Km/h
Ángulo del viento,34°,358°,11°,9°,47°,43°,59°,83°,93°,102°,118°,120°,107°,101°,136°,122°,104°,132°,187°,155°,83°,62°,58°,57°
Dirección del viento,NNE,N,N,N,NE,NE,ENE,E,E,ESE,ESE,ESE,ESE,ESE,SE,ESE,ESE,SE,S,SSE,E,ENE,ENE,ENE
Nubosidad,63%,63%,60%,57%,56%,51%,60%,56%,53%,71%,74%,81%,75%,89%,83%,86%,70%,85%,86%,26%,25%,44%,26%,18%
Índice UV,0,0,0,0,0,0,0,0,1,3,6,7,11,8,2,1,1,1,0,0,0,0,0,0
Visibilidad,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,9 Km,9 Km,10 Km,10 Km,10 Km,10 Km,9 Km,9 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km
