Hora
Temperatura,11° C,12° C,12° C,11° C,11° C,11° C,11° C,11° C,12° C,14° C,15° C,17° C,16° C,15° C,14° C,13° C,13° C,13° C,11° C,10° C,10° C,11° C,11° C,11° C
Clima,Ligeras precipitaciones,Llovizna a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Ligeras precipitaciones,Ligeras precipitaciones,Lluvias ligeras a intervalos,Ligeras precipitaciones,Ligeras lluvias,Ligeras precipitaciones,Ligeras lluvias,Lluvias ligeras a intervalos,Llovizna a intervalos,Lluvia moderada a intervalos,Llovizna a intervalos
Probabilidad de lluvia,100%,100%,100%,100%,100%,100%,66%,71%,80%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Precipitaciones,"0,4 mm","0,2 mm","0,2 mm","0,2 mm","0,2 mm","0,2 mm",0 mm,0 mm,0 mm,"0,1 mm","0,1 mm","0,6 mm","0,7 mm","0,8 mm","0,9 mm","1,2 mm","1,4 mm","1,5 mm","1,7 mm","1,6 mm","0,8 mm","0,4 mm","0,3 mm","0,3 mm"
Humedad,96%,95%,94%,93%,94%,94%,94%,92%,88%,81%,75%,71%,73%,80%,87%,92%,95%,97%,98%,97%,94%,92%,92%,92%
Velocidad del viento,1Km/h,4Km/h,2Km/h,2Km/h,2Km/h,1Km/h,0Km/h,1Km/h,1Km/h,2Km/h,3Km/h,6Km/h,8Km/h,8Km/h,8Km/h,6Km/h,5Km/h,5Km/h,6Km/h,6Km/h,4Km/h,4Km/h,5Km/h,6Km/h
Ráfaga de viento,2Km/h,11Km/h,2Km/h,3Km/h,3Km/h,1Km/h,0Km/h,1Km/h,1Km/h,2Km/h,3Km/h,7Km/h,11Km/h,10Km/h,9Km/h,8Km/h,8Km/h,6Km/h,10Km/h,8Km/h,6Km/h,5Km/h,6Km/h,7Km/h
Ángulo del viento,57°,12°,301°,271°,250°,268°,350°,145°,141°,175°,210°,236°,239°,240°,241°,241°,243°,239°,257°,275°,318°,47°,67°,81°
Dirección del viento,ENE,NNE,WNW,W,WSW,W,N,SE,SE,S,SSW,WSW,WSW,WSW,WSW,WSW,WSW,WSW,WSW,W,NW,NE,ENE,E
Nubosidad,67%,61%,70%,73%,80%,80%,51%,74%,74%,79%,71%,87%,82%,51%,79%,70%,97%,100%,100%,86%,61%,73%,73%,53%
Índice UV,0,0,0,0,0,0,0,0,1,3,7,11,11,6,2,1,0,0,0,0,0,0,0,0
Visibilidad,10 Km,5 Km,9 Km,9 Km,9 Km,9 Km,10 Km,10 Km,10 Km,10 Km,10 Km,9 Km,9 Km,10 Km,10 Km,9 Km,10 Km,9 Km,10 Km,9 Km,9 Km,5 Km,9 Km,5 Km
