Hora
Temperatura,5° C,5° C,6° C,6° C,5° C,5° C,5° C,11° C,13° C,15° C,17° C,17° C,16° C,15° C,14° C,14° C,13° C,12° C,9° C,9° C,9° C,10° C,11° C,11° C
Clima,Parcialmente nublado,Parcialmente nublado,Parcialmente nublado,Parcialmente nublado,Parcialmente nublado,Parcialmente nublado,Parcialmente nublado,Parcialmente nublado,Soleado,Soleado,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Lluvia moderada a intervalos,Ligeras precipitaciones,Ligeras precipitaciones,Ligeras precipitaciones,Ligeras precipitaciones,Ligeras precipitaciones,Ligeras precipitaciones,Llovizna,Llovizna,Ligeras precipitaciones,Llovizna
Probabilidad de lluvia,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Precipitaciones,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,0 mm,"0,1 mm","0,5 mm","0,6 mm","0,5 mm","0,5 mm","0,6 mm","0,5 mm","0,8 mm","0,3 mm","0,3 mm","0,3 mm","0,2 mm","0,3 mm","0,2 mm"
Probabilidad de nevada,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Probabilidad de heladas,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Humedad,93%,91%,90%,90%,90%,91%,91%,88%,80%,74%,68%,69%,73%,81%,87%,91%,95%,97%,98%,98%,98%,98%,97%,97%
Velocidad del viento,2Km/h,2Km/h,2Km/h,2Km/h,3Km/h,2Km/h,3Km/h,3Km/h,0Km/h,3Km/h,5Km/h,6Km/h,8Km/h,9Km/h,8Km/h,9Km/h,9Km/h,8Km/h,6Km/h,5Km/h,3Km/h,1Km/h,1Km/h,1Km/h
Ráfaga de viento,5Km/h,4Km/h,4Km/h,5Km/h,5Km/h,4Km/h,5Km/h,3Km/h,0Km/h,4Km/h,5Km/h,7Km/h,11Km/h,11Km/h,10Km/h,11Km/h,12Km/h,11Km/h,11Km/h,8Km/h,5Km/h,2Km/h,2Km/h,1Km/h
Ángulo del viento,0°,12°,348°,321°,314°,345°,40°,50°,251°,221°,219°,226°,236°,239°,240°,244°,240°,231°,222°,217°,211°,196°,195°,189°
Dirección del viento,N,NNE,NNW,NW,NW,NNW,NE,NE,WSW,SW,SW,SW,SW,WSW,WSW,WSW,WSW,SW,SW,SW,SSW,SSW,SSW,S
Nubosidad,26%,50%,53%,52%,56%,60%,45%,36%,25%,18%,25%,89%,77%,83%,57%,81%,100%,100%,100%,100%,100%,100%,97%,92%
Índice UV,0,0,0,0,0,0,0,0,2,5,9,12,10,5,3,2,1,0,0,0,0,0,0,0
Visibilidad,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,9 Km,9 Km,9 Km,10 Km,10 Km,10 Km,10 Km,10 Km,10 Km,2 Km,2 Km,10 Km,2 Km
